"COUNTRY","EVIDENCE_LEVEL_AMR","PROPORTION_CATEGORICAL","YEAR","VALUE"
"ALB","LEVEL_A","NO_DATA_LESS10","2015","1"
"AND","LEVEL_A","DNP","2015","1"
"ARM","LEVEL_A","NO_DATA_LESS10","2015","1"
"AUT","LEVEL_A","1_5","2015","1"
"AZE","LEVEL_A","NO_DATA_LESS10","2015","1"
"BLR","LEVEL_B","50+","2015","1"
"BEL","LEVEL_A","5_10","2015","1"
"BIH","LEVEL_B","25_50","2015","1"
"BGR","LEVEL_A","25_50","2015","1"
"HRV","LEVEL_A","25_50","2015","1"
"CYP","LEVEL_A","10_25","2015","1"
"CZE","LEVEL_A","25_50","2015","1"
"DNK","LEVEL_A","1_5","2015","1"
"EST","LEVEL_A","10_25","2015","1"
"FIN","LEVEL_A","1_5","2015","1"
"FRA","LEVEL_A","10_25","2015","1"
"GEO","LEVEL_A","NO_DATA_LESS10","2015","1"
"DEU","LEVEL_A","1_5","2015","1"
"GRC","LEVEL_A","25_50","2015","1"
"HUN","LEVEL_A","25_50","2015","1"
"ISL","LEVEL_A","0_1","2015","1"
"IRL","LEVEL_A","5_10","2015","1"
"ISR","LEVEL_A","DNP","2015","1"
"ITA","LEVEL_A","25_50","2015","1"
"KAZ","LEVEL_A","NO_DATA_LESS10","2015","1"
"KGZ","LEVEL_A","NO_DATA_LESS10","2015","1"
"LVA","LEVEL_A","25_50","2015","1"
"LTU","LEVEL_A","25_50","2015","1"
"LUX","LEVEL_A","10_25","2015","1"
"MLT","LEVEL_A","10_25","2015","1"
"MCO","LEVEL_A","DNP","2015","1"
"MNE","LEVEL_A","NO_DATA_LESS10","2015","1"
"NLD","LEVEL_A","1_5","2015","1"
"NOR","LEVEL_A","1_5","2015","1"
"POL","LEVEL_A","50+","2015","1"
"PRT","LEVEL_A","10_25","2015","1"
"MDA","LEVEL_A","NO_DATA_LESS10","2015","1"
"ROU","LEVEL_A","25_50","2015","1"
"RUS","LEVEL_B","50+","2015","1"
"SMR","LEVEL_A","DNP","2015","1"
"RS-SRB","LEVEL_B","50+","2015","1"
"SVK","LEVEL_A","50+","2015","1"
"SVN","LEVEL_A","10_25","2015","1"
"ESP","LEVEL_A","10_25","2015","1"
"SWE","LEVEL_A","1_5","2015","1"
"CHE","LEVEL_A","1_5","2015","1"
"TJK","LEVEL_A","NO_DATA_LESS10","2015","1"
"MKD","LEVEL_B","25_50","2015","1"
"TUR","LEVEL_A","25_50","2015","1"
"TKM","LEVEL_A","NO_DATA_LESS10","2015","1"
"UKR","LEVEL_A","NO_DATA_LESS10","2015","1"
"GBR","LEVEL_A","1_5","2015","1"
"UZB","LEVEL_A","NO_DATA_LESS10","2015","1"
"RS-XKX","LEVEL_B","5_10","2015","1"
"ALB","LEVEL_A","NO_DATA_LESS10","2016","1"
"AND","LEVEL_A","DNP","2016","1"
"ARM","LEVEL_A","NO_DATA_LESS10","2016","1"
"AUT","LEVEL_A","1_5","2016","1"
"AZE","LEVEL_A","NO_DATA_LESS10","2016","1"
"BLR","LEVEL_B","50+","2016","1"
"BEL","LEVEL_A","5_10","2016","1"
"BIH","LEVEL_A","50+","2016","1"
"BGR","LEVEL_A","25_50","2016","1"
"HRV","LEVEL_A","25_50","2016","1"
"CYP","LEVEL_A","10_25","2016","1"
"CZE","LEVEL_A","25_50","2016","1"
"DNK","LEVEL_A","1_5","2016","1"
"EST","LEVEL_A","10_25","2016","1"
"FIN","LEVEL_A","1_5","2016","1"
"FRA","LEVEL_A","10_25","2016","1"
"GEO","LEVEL_B","25_50","2016","1"
"DEU","LEVEL_A","5_10","2016","1"
"GRC","LEVEL_A","25_50","2016","1"
"HUN","LEVEL_A","25_50","2016","1"
"ISL","LEVEL_A","0_1","2016","1"
"IRL","LEVEL_A","5_10","2016","1"
"ISR","LEVEL_A","DNP","2016","1"
"ITA","LEVEL_A","25_50","2016","1"
"KAZ","LEVEL_A","NO_DATA_LESS10","2016","1"
"KGZ","LEVEL_A","NO_DATA_LESS10","2016","1"
"LVA","LEVEL_A","25_50","2016","1"
"LTU","LEVEL_A","25_50","2016","1"
"LUX","LEVEL_A","10_25","2016","1"
"MLT","LEVEL_A","10_25","2016","1"
"MCO","LEVEL_A","DNP","2016","1"
"MNE","LEVEL_B","50+","2016","1"
"NLD","LEVEL_A","1_5","2016","1"
"NOR","LEVEL_A","1_5","2016","1"
"POL","LEVEL_A","50+","2016","1"
"PRT","LEVEL_A","25_50","2016","1"
"MDA","LEVEL_A","NO_DATA_LESS10","2016","1"
"ROU","LEVEL_A","50+","2016","1"
"RUS","LEVEL_B","50+","2016","1"
"SMR","LEVEL_A","DNP","2016","1"
"RS-SRB","LEVEL_A","50+","2016","1"
"SVK","LEVEL_A","50+","2016","1"
"SVN","LEVEL_A","10_25","2016","1"
"ESP","LEVEL_A","10_25","2016","1"
"SWE","LEVEL_A","1_5","2016","1"
"CHE","LEVEL_A","1_5","2016","1"
"TJK","LEVEL_A","NO_DATA_LESS10","2016","1"
"MKD","LEVEL_B","50+","2016","1"
"TUR","LEVEL_A","25_50","2016","1"
"TKM","LEVEL_A","NO_DATA_LESS10","2016","1"
"UKR","LEVEL_A","NO_DATA_LESS10","2016","1"
"GBR","LEVEL_A","1_5","2016","1"
"UZB","LEVEL_A","NO_DATA_LESS10","2016","1"
"RS-XKX","LEVEL_B","10_25","2016","1"